
LTL template,Sentence,LTL
F(a F(b)),Find the Science Library and then find the Chipotle,F ( Science Library & F ( Chipotle ) )
F(a F(b)),Find the Science Library and then find the Kabob and Curry,F ( Science Library & F ( Kabob and Curry ) )
F(a F(b)),Find the Science Library and then find the CVS,F ( Science Library & F ( CVS ) )
F(a F(b)),Find the Science Library and then find the Citizen's Bank,F ( Science Library & F ( Citizen's Bank ) )
F(a F(b)),Find the Science Library and then find the Barus Building,F ( Science Library & F ( Barus Building ) )
F(a F(b)),Find the Science Library and then find the Watson Center,F ( Science Library & F ( Watson Center ) )
F(a F(b)),Find the Science Library and then find the Marston Hall,F ( Science Library & F ( Marston Hall ) )
F(a F(b)),Find the Science Library and then find the FedEx Office,F ( Science Library & F ( FedEx Office ) )
F(a F(b)),Find the Science Library and then find the Nelson Fitness Center,F ( Science Library & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Starbucks and then find the Bookstore,F ( Starbucks & F ( Bookstore ) )
F(a F(b)),Find the Starbucks and then find the Science Library,F ( Starbucks & F ( Science Library ) )
F(a F(b)),Find the Starbucks and then find the Chipotle,F ( Starbucks & F ( Chipotle ) )
F(a F(b)),Find the Starbucks and then find the Kabob and Curry,F ( Starbucks & F ( Kabob and Curry ) )
F(a F(b)),Find the Starbucks and then find the CVS,F ( Starbucks & F ( CVS ) )
F(a F(b)),Find the Starbucks and then find the Citizen's Bank,F ( Starbucks & F ( Citizen's Bank ) )
F(a F(b)),Find the Starbucks and then find the Barus Building,F ( Starbucks & F ( Barus Building ) )
F(a F(b)),Find the Starbucks and then find the Watson Center,F ( Starbucks & F ( Watson Center ) )
F(a F(b)),Find the Starbucks and then find the Marston Hall,F ( Starbucks & F ( Marston Hall ) )
F(a F(b)),Find the Starbucks and then find the FedEx Office,F ( Starbucks & F ( FedEx Office ) )
F(a F(b)),Find the Starbucks and then find the Nelson Fitness Center,F ( Starbucks & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Chipotle and then find the Bookstore,F ( Chipotle & F ( Bookstore ) )
F(a F(b)),Find the Chipotle and then find the Science Library,F ( Chipotle & F ( Science Library ) )
F(a F(b)),Find the Chipotle and then find the Kabob and Curry,F ( Chipotle & F ( Kabob and Curry ) )
F(a F(b)),Find the Chipotle and then find the CVS,F ( Chipotle & F ( CVS ) )
F(a F(b)),Find the Chipotle and then find the Citizen's Bank,F ( Chipotle & F ( Citizen's Bank ) )
F(a F(b)),Find the Chipotle and then find the Barus Building,F ( Chipotle & F ( Barus Building ) )
F(a F(b)),Find the Chipotle and then find the Watson Center,F ( Chipotle & F ( Watson Center ) )
F(a F(b)),Find the Chipotle and then find the Marston Hall,F ( Chipotle & F ( Marston Hall ) )
F(a F(b)),Find the Chipotle and then find the FedEx Office,F ( Chipotle & F ( FedEx Office ) )
F(a F(b)),Find the Chipotle and then find the Nelson Fitness Center,F ( Chipotle & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Chipotle and then find the Starbucks,F ( Chipotle & F ( Starbucks ) )
F(a F(b)),Find the Kabob and Curry and then find the Bookstore,F ( Kabob and Curry & F ( Bookstore ) )
F(a F(b)),Find the Kabob and Curry and then find the Science Library,F ( Kabob and Curry & F ( Science Library ) )
F(a F(b)),Find the Kabob and Curry and then find the Chipotle,F ( Kabob and Curry & F ( Chipotle ) )
F(a F(b)),Find the Kabob and Curry and then find the Starbucks,F ( Kabob and Curry & F ( Starbucks ) )
F(a F(b)),Find the Kabob and Curry and then find the CVS,F ( Kabob and Curry & F ( CVS ) )
F(a F(b)),Find the Kabob and Curry and then find the Citizen's Bank,F ( Kabob and Curry & F ( Citizen's Bank ) )
F(a F(b)),Find the Kabob and Curry and then find the Barus Building,F ( Kabob and Curry & F ( Barus Building ) )
F(a F(b)),Find the Kabob and Curry and then find the Watson Center,F ( Kabob and Curry & F ( Watson Center ) )
F(a F(b)),Find the Kabob and Curry and then find the Marston Hall,F ( Kabob and Curry & F ( Marston Hall ) )
F(a F(b)),Find the Kabob and Curry and then find the FedEx Office,F ( Kabob and Curry & F ( FedEx Office ) )
F(a F(b)),Find the Kabob and Curry and then find the Nelson Fitness Center,F ( Kabob and Curry & F ( Nelson Fitness Center ) )
F(a F(b)),Find the CVS and then find the Bookstore,F ( CVS & F ( Bookstore ) )
F(a F(b)),Find the CVS and then find the Science Library,F ( CVS & F ( Science Library ) )
F(a F(b)),Find the CVS and then find the Chipotle,F ( CVS & F ( Chipotle ) )
F(a F(b)),Find the CVS and then find the Starbucks,F ( CVS & F ( Starbucks ) )
F(a F(b)),Find the CVS and then find the Kabob and Curry,F ( CVS & F ( Kabob and Curry ) )
F(a F(b)),Find the CVS and then find the Citizen's Bank,F ( CVS & F ( Citizen's Bank ) )
F(a F(b)),Find the CVS and then find the Barus Building,F ( CVS & F ( Barus Building ) )
F(a F(b)),Find the CVS and then find the Watson Center,F ( CVS & F ( Watson Center ) )
F(a F(b)),Find the CVS and then find the Marston Hall,F ( CVS & F ( Marston Hall ) )
F(a F(b)),Find the CVS and then find the FedEx Office,F ( CVS & F ( FedEx Office ) )
F(a F(b)),Find the CVS and then find the Nelson Fitness Center,F ( CVS & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Citizen's Bank and then find the Bookstore,F ( Citizen's Bank & F ( Bookstore ) )
F(a F(b)),Find the Citizen's Bank and then find the Science Library,F ( Citizen's Bank & F ( Science Library ) )
F(a F(b)),Find the Citizen's Bank and then find the Chipotle,F ( Citizen's Bank & F ( Chipotle ) )
F(a F(b)),Find the Citizen's Bank and then find the Starbucks,F ( Citizen's Bank & F ( Starbucks ) )
F(a F(b)),Find the Citizen's Bank and then find the Kabob and Curry,F ( Citizen's Bank & F ( Kabob and Curry ) )
F(a F(b)),Find the Citizen's Bank and then find the CVS,F ( Citizen's Bank & F ( CVS ) )
F(a F(b)),Find the Citizen's Bank and then find the Barus Building,F ( Citizen's Bank & F ( Barus Building ) )
F(a F(b)),Find the Citizen's Bank and then find the Watson Center,F ( Citizen's Bank & F ( Watson Center ) )
F(a F(b)),Find the Citizen's Bank and then find the Marston Hall,F ( Citizen's Bank & F ( Marston Hall ) )
F(a F(b)),Find the Citizen's Bank and then find the FedEx Office,F ( Citizen's Bank & F ( FedEx Office ) )
F(a F(b)),Find the Citizen's Bank and then find the Nelson Fitness Center,F ( Citizen's Bank & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Barus Building and then find the Bookstore,F ( Barus Building & F ( Bookstore ) )
F(a F(b)),Find the Barus Building and then find the Science Library,F ( Barus Building & F ( Science Library ) )
F(a F(b)),Find the Barus Building and then find the Chipotle,F ( Barus Building & F ( Chipotle ) )
F(a F(b)),Find the Barus Building and then find the Starbucks,F ( Barus Building & F ( Starbucks ) )
F(a F(b)),Find the Barus Building and then find the Kabob and Curry,F ( Barus Building & F ( Kabob and Curry ) )
F(a F(b)),Find the Barus Building and then find the CVS,F ( Barus Building & F ( CVS ) )
F(a F(b)),Find the Barus Building and then find the Citizen's Bank,F ( Barus Building & F ( Citizen's Bank ) )
F(a F(b)),Find the Barus Building and then find the Watson Center,F ( Barus Building & F ( Watson Center ) )
F(a F(b)),Find the Barus Building and then find the Marston Hall,F ( Barus Building & F ( Marston Hall ) )
F(a F(b)),Find the Barus Building and then find the FedEx Office,F ( Barus Building & F ( FedEx Office ) )
F(a F(b)),Find the Barus Building and then find the Nelson Fitness Center,F ( Barus Building & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Watson Center and then find the Bookstore,F ( Watson Center & F ( Bookstore ) )
F(a F(b)),Find the Watson Center and then find the Science Library,F ( Watson Center & F ( Science Library ) )
F(a F(b)),Find the Watson Center and then find the Chipotle,F ( Watson Center & F ( Chipotle ) )
F(a F(b)),Find the Watson Center and then find the Starbucks,F ( Watson Center & F ( Starbucks ) )
F(a F(b)),Find the Watson Center and then find the Kabob and Curry,F ( Watson Center & F ( Kabob and Curry ) )
F(a F(b)),Find the Watson Center and then find the CVS,F ( Watson Center & F ( CVS ) )
F(a F(b)),Find the Watson Center and then find the Citizen's Bank,F ( Watson Center & F ( Citizen's Bank ) )
F(a F(b)),Find the Watson Center and then find the Barus Building,F ( Watson Center & F ( Barus Building ) )
F(a F(b)),Find the Watson Center and then find the Marston Hall,F ( Watson Center & F ( Marston Hall ) )
F(a F(b)),Find the Watson Center and then find the FedEx Office,F ( Watson Center & F ( FedEx Office ) )
F(a F(b)),Find the Watson Center and then find the Nelson Fitness Center,F ( Watson Center & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Marston Hall and then find the Bookstore,F ( Marston Hall & F ( Bookstore ) )
F(a F(b)),Find the Marston Hall and then find the Science Library,F ( Marston Hall & F ( Science Library ) )
F(a F(b)),Find the Marston Hall and then find the Chipotle,F ( Marston Hall & F ( Chipotle ) )
F(a F(b)),Find the Marston Hall and then find the Starbucks,F ( Marston Hall & F ( Starbucks ) )
F(a F(b)),Find the Marston Hall and then find the Kabob and Curry,F ( Marston Hall & F ( Kabob and Curry ) )
F(a F(b)),Find the Marston Hall and then find the CVS,F ( Marston Hall & F ( CVS ) )
F(a F(b)),Find the Marston Hall and then find the Citizen's Bank,F ( Marston Hall & F ( Citizen's Bank ) )
F(a F(b)),Find the Marston Hall and then find the Barus Building,F ( Marston Hall & F ( Barus Building ) )
F(a F(b)),Find the Marston Hall and then find the Watson Center,F ( Marston Hall & F ( Watson Center ) )
F(a F(b)),Find the Marston Hall and then find the FedEx Office,F ( Marston Hall & F ( FedEx Office ) )
F(a F(b)),Find the Marston Hall and then find the Nelson Fitness Center,F ( Marston Hall & F ( Nelson Fitness Center ) )
F(a F(b)),Find the FedEx Office and then find the Bookstore,F ( FedEx Office & F ( Bookstore ) )
F(a F(b)),Find the FedEx Office and then find the Science Library,F ( FedEx Office & F ( Science Library ) )
F(a F(b)),Find the FedEx Office and then find the Chipotle,F ( FedEx Office & F ( Chipotle ) )
F(a F(b)),Find the FedEx Office and then find the Starbucks,F ( FedEx Office & F ( Starbucks ) )
F(a F(b)),Find the FedEx Office and then find the Kabob and Curry,F ( FedEx Office & F ( Kabob and Curry ) )
F(a F(b)),Find the FedEx Office and then find the CVS,F ( FedEx Office & F ( CVS ) )
F(a F(b)),Find the FedEx Office and then find the Citizen's Bank,F ( FedEx Office & F ( Citizen's Bank ) )
F(a F(b)),Find the FedEx Office and then find the Barus Building,F ( FedEx Office & F ( Barus Building ) )
F(a F(b)),Find the FedEx Office and then find the Watson Center,F ( FedEx Office & F ( Watson Center ) )
F(a F(b)),Find the FedEx Office and then find the Marston Hall,F ( FedEx Office & F ( Marston Hall ) )
F(a F(b)),Find the FedEx Office and then find the Nelson Fitness Center,F ( FedEx Office & F ( Nelson Fitness Center ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Bookstore,F ( Nelson Fitness Center & F ( Bookstore ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Science Library,F ( Nelson Fitness Center & F ( Science Library ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Chipotle,F ( Nelson Fitness Center & F ( Chipotle ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Starbucks,F ( Nelson Fitness Center & F ( Starbucks ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Kabob and Curry,F ( Nelson Fitness Center & F ( Kabob and Curry ) )
F(a F(b)),Find the Nelson Fitness Center and then find the CVS,F ( Nelson Fitness Center & F ( CVS ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Citizen's Bank,F ( Nelson Fitness Center & F ( Citizen's Bank ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Barus Building,F ( Nelson Fitness Center & F ( Barus Building ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Watson Center,F ( Nelson Fitness Center & F ( Watson Center ) )
F(a F(b)),Find the Nelson Fitness Center and then find the Marston Hall,F ( Nelson Fitness Center & F ( Marston Hall ) )
F(a F(b)),Find the Nelson Fitness Center and then find the FedEx Office,F ( Nelson Fitness Center & F ( FedEx Office ) )
F(a F(b)),Go to the Bookstore and then go to the Science Library,F ( Bookstore & F ( Science Library ) )
F(a F(b)),Go to the Bookstore and then go to the Starbucks,F ( Bookstore & F ( Starbucks ) )
F(a F(b)),Go to the Bookstore and then go to the Chipotle,F ( Bookstore & F ( Chipotle ) )
F(a F(b)),Go to the Bookstore and then go to the Kabob and Curry,F ( Bookstore & F ( Kabob and Curry ) )
F(a F(b)),Go to the Bookstore and then go to the CVS,F ( Bookstore & F ( CVS ) )
F(a F(b)),Go to the Bookstore and then go to the Citizen's Bank,F ( Bookstore & F ( Citizen's Bank ) )
F(a F(b)),Go to the Bookstore and then go to the Barus Building,F ( Bookstore & F ( Barus Building ) )
F(a F(b)),Go to the Bookstore and then go to the Watson Center,F ( Bookstore & F ( Watson Center ) )
F(a F(b)),Go to the Bookstore and then go to the Marston Hall,F ( Bookstore & F ( Marston Hall ) )
F(a F(b)),Go to the Bookstore and then go to the FedEx Office,F ( Bookstore & F ( FedEx Office ) )
F(a F(b)),Go to the Bookstore and then go to the Nelson Fitness Center,F ( Bookstore & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Science Library and then go to the Bookstore,F ( Science Library & F ( Bookstore ) )
F(a F(b)),Go to the Science Library and then go to the Starbucks,F ( Science Library & F ( Starbucks ) )
F(a F(b)),Go to the Science Library and then go to the Chipotle,F ( Science Library & F ( Chipotle ) )
F(a F(b)),Go to the Science Library and then go to the Kabob and Curry,F ( Science Library & F ( Kabob and Curry ) )
F(a F(b)),Go to the Science Library and then go to the CVS,F ( Science Library & F ( CVS ) )
F(a F(b)),Go to the Science Library and then go to the Citizen's Bank,F ( Science Library & F ( Citizen's Bank ) )
F(a F(b)),Go to the Science Library and then go to the Barus Building,F ( Science Library & F ( Barus Building ) )
F(a F(b)),Go to the Science Library and then go to the Watson Center,F ( Science Library & F ( Watson Center ) )
F(a F(b)),Go to the Science Library and then go to the Marston Hall,F ( Science Library & F ( Marston Hall ) )
F(a F(b)),Go to the Science Library and then go to the FedEx Office,F ( Science Library & F ( FedEx Office ) )
F(a F(b)),Go to the Science Library and then go to the Nelson Fitness Center,F ( Science Library & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Starbucks and then go to the Bookstore,F ( Starbucks & F ( Bookstore ) )
F(a F(b)),Go to the Starbucks and then go to the Science Library,F ( Starbucks & F ( Science Library ) )
F(a F(b)),Go to the Starbucks and then go to the Chipotle,F ( Starbucks & F ( Chipotle ) )
F(a F(b)),Go to the Starbucks and then go to the Kabob and Curry,F ( Starbucks & F ( Kabob and Curry ) )
F(a F(b)),Go to the Starbucks and then go to the CVS,F ( Starbucks & F ( CVS ) )
F(a F(b)),Go to the Starbucks and then go to the Citizen's Bank,F ( Starbucks & F ( Citizen's Bank ) )
F(a F(b)),Go to the Starbucks and then go to the Barus Building,F ( Starbucks & F ( Barus Building ) )
F(a F(b)),Go to the Starbucks and then go to the Watson Center,F ( Starbucks & F ( Watson Center ) )
F(a F(b)),Go to the Starbucks and then go to the Marston Hall,F ( Starbucks & F ( Marston Hall ) )
F(a F(b)),Go to the Starbucks and then go to the FedEx Office,F ( Starbucks & F ( FedEx Office ) )
F(a F(b)),Go to the Starbucks and then go to the Nelson Fitness Center,F ( Starbucks & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Chipotle and then go to the Bookstore,F ( Chipotle & F ( Bookstore ) )
F(a F(b)),Go to the Chipotle and then go to the Science Library,F ( Chipotle & F ( Science Library ) )
F(a F(b)),Go to the Chipotle and then go to the Kabob and Curry,F ( Chipotle & F ( Kabob and Curry ) )
F(a F(b)),Go to the Chipotle and then go to the CVS,F ( Chipotle & F ( CVS ) )
F(a F(b)),Go to the Chipotle and then go to the Citizen's Bank,F ( Chipotle & F ( Citizen's Bank ) )
F(a F(b)),Go to the Chipotle and then go to the Barus Building,F ( Chipotle & F ( Barus Building ) )
F(a F(b)),Go to the Chipotle and then go to the Watson Center,F ( Chipotle & F ( Watson Center ) )
F(a F(b)),Go to the Chipotle and then go to the Marston Hall,F ( Chipotle & F ( Marston Hall ) )
F(a F(b)),Go to the Chipotle and then go to the FedEx Office,F ( Chipotle & F ( FedEx Office ) )
F(a F(b)),Go to the Chipotle and then go to the Nelson Fitness Center,F ( Chipotle & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Chipotle and then go to the Starbucks,F ( Chipotle & F ( Starbucks ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Bookstore,F ( Kabob and Curry & F ( Bookstore ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Science Library,F ( Kabob and Curry & F ( Science Library ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Chipotle,F ( Kabob and Curry & F ( Chipotle ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Starbucks,F ( Kabob and Curry & F ( Starbucks ) )
F(a F(b)),Go to the Kabob and Curry and then go to the CVS,F ( Kabob and Curry & F ( CVS ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Citizen's Bank,F ( Kabob and Curry & F ( Citizen's Bank ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Barus Building,F ( Kabob and Curry & F ( Barus Building ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Watson Center,F ( Kabob and Curry & F ( Watson Center ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Marston Hall,F ( Kabob and Curry & F ( Marston Hall ) )
F(a F(b)),Go to the Kabob and Curry and then go to the FedEx Office,F ( Kabob and Curry & F ( FedEx Office ) )
F(a F(b)),Go to the Kabob and Curry and then go to the Nelson Fitness Center,F ( Kabob and Curry & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the CVS and then go to the Bookstore,F ( CVS & F ( Bookstore ) )
F(a F(b)),Go to the CVS and then go to the Science Library,F ( CVS & F ( Science Library ) )
F(a F(b)),Go to the CVS and then go to the Chipotle,F ( CVS & F ( Chipotle ) )
F(a F(b)),Go to the CVS and then go to the Starbucks,F ( CVS & F ( Starbucks ) )
F(a F(b)),Go to the CVS and then go to the Kabob and Curry,F ( CVS & F ( Kabob and Curry ) )
F(a F(b)),Go to the CVS and then go to the Citizen's Bank,F ( CVS & F ( Citizen's Bank ) )
F(a F(b)),Go to the CVS and then go to the Barus Building,F ( CVS & F ( Barus Building ) )
F(a F(b)),Go to the CVS and then go to the Watson Center,F ( CVS & F ( Watson Center ) )
F(a F(b)),Go to the CVS and then go to the Marston Hall,F ( CVS & F ( Marston Hall ) )
F(a F(b)),Go to the CVS and then go to the FedEx Office,F ( CVS & F ( FedEx Office ) )
F(a F(b)),Go to the CVS and then go to the Nelson Fitness Center,F ( CVS & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Bookstore,F ( Citizen's Bank & F ( Bookstore ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Science Library,F ( Citizen's Bank & F ( Science Library ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Chipotle,F ( Citizen's Bank & F ( Chipotle ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Starbucks,F ( Citizen's Bank & F ( Starbucks ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Kabob and Curry,F ( Citizen's Bank & F ( Kabob and Curry ) )
F(a F(b)),Go to the Citizen's Bank and then go to the CVS,F ( Citizen's Bank & F ( CVS ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Barus Building,F ( Citizen's Bank & F ( Barus Building ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Watson Center,F ( Citizen's Bank & F ( Watson Center ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Marston Hall,F ( Citizen's Bank & F ( Marston Hall ) )
F(a F(b)),Go to the Citizen's Bank and then go to the FedEx Office,F ( Citizen's Bank & F ( FedEx Office ) )
F(a F(b)),Go to the Citizen's Bank and then go to the Nelson Fitness Center,F ( Citizen's Bank & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Barus Building and then go to the Bookstore,F ( Barus Building & F ( Bookstore ) )
F(a F(b)),Go to the Barus Building and then go to the Science Library,F ( Barus Building & F ( Science Library ) )
F(a F(b)),Go to the Barus Building and then go to the Chipotle,F ( Barus Building & F ( Chipotle ) )
F(a F(b)),Go to the Barus Building and then go to the Starbucks,F ( Barus Building & F ( Starbucks ) )
F(a F(b)),Go to the Barus Building and then go to the Kabob and Curry,F ( Barus Building & F ( Kabob and Curry ) )
F(a F(b)),Go to the Barus Building and then go to the CVS,F ( Barus Building & F ( CVS ) )
F(a F(b)),Go to the Barus Building and then go to the Citizen's Bank,F ( Barus Building & F ( Citizen's Bank ) )
F(a F(b)),Go to the Barus Building and then go to the Watson Center,F ( Barus Building & F ( Watson Center ) )
F(a F(b)),Go to the Barus Building and then go to the Marston Hall,F ( Barus Building & F ( Marston Hall ) )
F(a F(b)),Go to the Barus Building and then go to the FedEx Office,F ( Barus Building & F ( FedEx Office ) )
F(a F(b)),Go to the Barus Building and then go to the Nelson Fitness Center,F ( Barus Building & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Watson Center and then go to the Bookstore,F ( Watson Center & F ( Bookstore ) )
F(a F(b)),Go to the Watson Center and then go to the Science Library,F ( Watson Center & F ( Science Library ) )
F(a F(b)),Go to the Watson Center and then go to the Chipotle,F ( Watson Center & F ( Chipotle ) )
F(a F(b)),Go to the Watson Center and then go to the Starbucks,F ( Watson Center & F ( Starbucks ) )
F(a F(b)),Go to the Watson Center and then go to the Kabob and Curry,F ( Watson Center & F ( Kabob and Curry ) )
F(a F(b)),Go to the Watson Center and then go to the CVS,F ( Watson Center & F ( CVS ) )
F(a F(b)),Go to the Watson Center and then go to the Citizen's Bank,F ( Watson Center & F ( Citizen's Bank ) )
F(a F(b)),Go to the Watson Center and then go to the Barus Building,F ( Watson Center & F ( Barus Building ) )
F(a F(b)),Go to the Watson Center and then go to the Marston Hall,F ( Watson Center & F ( Marston Hall ) )
F(a F(b)),Go to the Watson Center and then go to the FedEx Office,F ( Watson Center & F ( FedEx Office ) )
F(a F(b)),Go to the Watson Center and then go to the Nelson Fitness Center,F ( Watson Center & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Marston Hall and then go to the Bookstore,F ( Marston Hall & F ( Bookstore ) )
F(a F(b)),Go to the Marston Hall and then go to the Science Library,F ( Marston Hall & F ( Science Library ) )
F(a F(b)),Go to the Marston Hall and then go to the Chipotle,F ( Marston Hall & F ( Chipotle ) )
F(a F(b)),Go to the Marston Hall and then go to the Starbucks,F ( Marston Hall & F ( Starbucks ) )
F(a F(b)),Go to the Marston Hall and then go to the Kabob and Curry,F ( Marston Hall & F ( Kabob and Curry ) )
F(a F(b)),Go to the Marston Hall and then go to the CVS,F ( Marston Hall & F ( CVS ) )
F(a F(b)),Go to the Marston Hall and then go to the Citizen's Bank,F ( Marston Hall & F ( Citizen's Bank ) )
F(a F(b)),Go to the Marston Hall and then go to the Barus Building,F ( Marston Hall & F ( Barus Building ) )
F(a F(b)),Go to the Marston Hall and then go to the Watson Center,F ( Marston Hall & F ( Watson Center ) )
F(a F(b)),Go to the Marston Hall and then go to the FedEx Office,F ( Marston Hall & F ( FedEx Office ) )
F(a F(b)),Go to the Marston Hall and then go to the Nelson Fitness Center,F ( Marston Hall & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the FedEx Office and then go to the Bookstore,F ( FedEx Office & F ( Bookstore ) )
F(a F(b)),Go to the FedEx Office and then go to the Science Library,F ( FedEx Office & F ( Science Library ) )
F(a F(b)),Go to the FedEx Office and then go to the Chipotle,F ( FedEx Office & F ( Chipotle ) )
F(a F(b)),Go to the FedEx Office and then go to the Starbucks,F ( FedEx Office & F ( Starbucks ) )
F(a F(b)),Go to the FedEx Office and then go to the Kabob and Curry,F ( FedEx Office & F ( Kabob and Curry ) )
F(a F(b)),Go to the FedEx Office and then go to the CVS,F ( FedEx Office & F ( CVS ) )
F(a F(b)),Go to the FedEx Office and then go to the Citizen's Bank,F ( FedEx Office & F ( Citizen's Bank ) )
F(a F(b)),Go to the FedEx Office and then go to the Barus Building,F ( FedEx Office & F ( Barus Building ) )
F(a F(b)),Go to the FedEx Office and then go to the Watson Center,F ( FedEx Office & F ( Watson Center ) )
F(a F(b)),Go to the FedEx Office and then go to the Marston Hall,F ( FedEx Office & F ( Marston Hall ) )
F(a F(b)),Go to the FedEx Office and then go to the Nelson Fitness Center,F ( FedEx Office & F ( Nelson Fitness Center ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Bookstore,F ( Nelson Fitness Center & F ( Bookstore ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Science Library,F ( Nelson Fitness Center & F ( Science Library ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Chipotle,F ( Nelson Fitness Center & F ( Chipotle ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Starbucks,F ( Nelson Fitness Center & F ( Starbucks ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Kabob and Curry,F ( Nelson Fitness Center & F ( Kabob and Curry ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the CVS,F ( Nelson Fitness Center & F ( CVS ) )
F(a F(b)),Go to the Nelson Fitness Center and then go to the Citizen's Bank,F ( Nelson Fitness Center & F ( Citizen's Bank ) )
